name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_10-06,avg,otsu,11,37.73583,25.49456,-32.43938,0.98696,0.88259,-10.5749,46.754,50.62612,8.2819
Case_10-06,avg,otsu,13,37.73583,24.12531,-36.0679,0.98696,0.85754,-13.11299,46.754,51.07779,9.24796
Case_10-07,avg,otsu,3,37.60138,24.8039,-34.0346,0.9875,0.93124,-5.69722,45.28321,48.90207,7.99162
Case_10-07,avg,otsu,5,37.60138,32.53677,-13.46921,0.9875,0.96893,-1.88051,45.28321,49.23326,8.72299
Case_10-07,avg,otsu,7,37.60138,29.48165,-21.59423,0.9875,0.942,-4.60759,45.28321,53.95413,19.1482
Case_10-07,avg,otsu,9,37.60138,26.98704,-28.22859,0.9875,0.90946,-7.90278,45.28321,53.28637,17.67357
Case_10-07,avg,otsu,11,37.60138,25.24795,-32.85366,0.9875,0.88029,-10.85671,45.28321,51.32457,13.34128
Case_10-07,avg,otsu,13,37.60138,23.99829,-36.1771,0.9875,0.85681,-13.23443,45.28321,55.00714,21.47359
Case_10-08,avg,otsu,3,37.55411,24.65832,-34.33922,0.98723,0.92936,-5.86186,45.32789,49.34043,8.85225
Case_10-08,avg,otsu,5,37.55411,32.6698,-13.00606,0.98723,0.96962,-1.78378,45.32789,49.50533,9.21605
Case_10-08,avg,otsu,7,37.55411,29.61233,-21.14757,0.98723,0.94329,-4.45084,45.32789,53.75039,18.58128
Case_10-08,avg,otsu,9,37.55411,27.09521,-27.85021,0.98723,0.91101,-7.72059,45.32789,53.22004,17.41125
Case_10-08,avg,otsu,11,37.55411,25.33934,-32.52579,0.98723,0.88186,-10.6733,45.32789,51.28326,13.13842
Case_10-08,avg,otsu,13,37.55411,24.07853,-35.8831,0.98723,0.85831,-13.05876,45.32789,55.16173,21.6949
Case_10-09,avg,otsu,3,37.06465,25.50293,-31.19339,0.98629,0.93779,-4.91742,45.08109,46.53294,3.22053
Case_10-09,avg,otsu,5,37.06465,32.56675,-12.13528,0.98629,0.96823,-1.8311,45.08109,48.41417,7.39352
Case_10-09,avg,otsu,7,37.06465,29.42421,-20.61382,0.98629,0.93962,-4.73187,45.08109,53.94819,19.66922
Case_10-09,avg,otsu,9,37.06465,27.02452,-27.08816,0.98629,0.90669,-8.07065,45.08109,54.34081,20.54014
Case_10-09,avg,otsu,11,37.06465,25.38593,-31.50905,0.98629,0.87852,-10.92681,45.08109,52.46876,16.38751
Case_10-09,avg,otsu,13,37.06465,24.22008,-34.6545,0.98629,0.85695,-13.11379,45.08109,56.63102,25.62034
Case_10-10,avg,otsu,3,37.84286,25.40613,-32.86414,0.98441,0.92939,-5.58913,43.6282,50.75679,16.33941
Case_10-10,avg,otsu,5,37.84286,33.27961,-12.05842,0.98441,0.96357,-2.117,43.6282,56.00475,28.36823
Case_10-10,avg,otsu,7,37.84286,30.37665,-19.72951,0.98441,0.93409,-5.11169,43.6282,56.95158,30.53846
Case_10-10,avg,otsu,9,37.84286,28.19028,-25.507,0.98441,0.90325,-8.24453,43.6282,57.49279,31.77896
Case_10-10,avg,otsu,11,37.84286,26.69579,-29.4562,0.98441,0.87834,-10.77498,43.6282,56.26648,28.96814
Case_10-10,avg,otsu,13,37.84286,25.62526,-32.28509,0.98441,0.85978,-12.66038,43.6282,60.10835,37.77408
Case_11-07,avg,otsu,3,38.02368,23.72794,-37.59694,0.98226,0.90726,-7.63545,44.14849,54.05185,22.43193
Case_11-07,avg,otsu,5,38.02368,33.7131,-11.33657,0.98226,0.96793,-1.45888,44.14849,48.27701,9.35144
Case_11-07,avg,otsu,7,38.02368,30.71253,-19.22789,0.98226,0.94199,-4.09973,44.14849,50.21195,13.73424
Case_11-07,avg,otsu,9,38.02368,28.23814,-25.73538,0.98226,0.90907,-7.45118,44.14849,57.27135,29.72437
Case_11-07,avg,otsu,11,38.02368,26.54815,-30.17996,0.98226,0.8797,-10.44123,44.14849,57.90772,31.1658
Case_11-07,avg,otsu,13,38.02368,25.36406,-33.29404,0.98226,0.85684,-12.76851,44.14849,57.44869,30.12606
Case_11-09,avg,otsu,3,42.3502,24.25753,-42.72157,0.98085,0.92189,-6.01111,48.7248,49.69376,1.98864
Case_11-09,avg,otsu,5,42.3502,37.10104,-12.39465,0.98085,0.97638,-0.45573,48.7248,51.64214,5.98738
Case_11-09,avg,otsu,7,42.3502,37.04083,-12.53682,0.98085,0.9726,-0.84111,48.7248,51.25549,5.19384
Case_11-09,avg,otsu,9,42.3502,34.88718,-17.62216,0.98085,0.96433,-1.68425,48.7248,51.68706,6.07957
Case_11-09,avg,otsu,11,42.3502,33.18169,-21.64927,0.98085,0.956,-2.53352,48.7248,51.62323,5.94857
Case_11-09,avg,otsu,13,42.3502,31.87969,-24.72364,0.98085,0.94871,-3.27675,48.7248,51.30082,5.28688
Case_11-10,avg,otsu,3,39.98815,24.56531,-38.56853,0.98058,0.91864,-6.31667,41.39252,47.70101,15.24065
Case_11-10,avg,otsu,5,39.98815,35.64203,-10.86852,0.98058,0.97174,-0.90151,41.39252,47.89551,15.71054
Case_11-10,avg,otsu,7,39.98815,33.55644,-16.08404,0.98058,0.958,-2.30272,41.39252,50.20485,21.28967
Case_11-10,avg,otsu,9,39.98815,31.39732,-21.48344,0.98058,0.94077,-4.05984,41.39252,52.15794,26.00813
Case_11-10,avg,otsu,11,39.98815,29.88071,-25.27609,0.98058,0.92581,-5.58547,41.39252,54.83473,32.47497
Case_11-10,avg,otsu,13,39.98815,28.78123,-28.0256,0.98058,0.91419,-6.77048,41.39252,56.38719,36.22555
Case_11-11,avg,otsu,3,40.14283,24.12031,-39.91378,0.98153,0.91361,-6.91981,49.61747,45.31731,-8.66662
Case_11-11,avg,otsu,5,40.14283,35.90069,-10.56762,0.98153,0.97348,-0.82015,49.61747,53.57253,7.9711
Case_11-11,avg,otsu,7,40.14283,33.76098,-15.89786,0.98153,0.96037,-2.15582,49.61747,53.77576,8.3807
