name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_5-05,avg,multilevel_tresholding,13,35.889,30.339,-15.46435,0.974,0.958,-1.64271,52.911,66.825,26.29699
Case_5-07,avg,multilevel_tresholding,13,36.058,30.776,-14.64862,0.966,0.953,-1.34576,46.34,68.735,48.32758
Case_5-08,avg,multilevel_tresholding,13,35.829,30.166,-15.80563,0.969,0.952,-1.75439,51.889,66.116,27.41814
Case_6-01,avg,multilevel_tresholding,13,33.747,26.788,-20.62109,0.972,0.941,-3.1893,52.247,61.17,17.07849
Case_6-02,avg,multilevel_tresholding,13,33.631,26.534,-21.10255,0.97,0.937,-3.40206,53.115,57.761,8.74706
Case_6-03,avg,multilevel_tresholding,13,33.686,26.9,-20.14487,0.974,0.943,-3.18275,52.509,58.415,11.2476
Case_6-04,avg,multilevel_tresholding,13,34.387,28.37,-17.49789,0.972,0.949,-2.36626,43.391,65.358,50.62571
Case_6-05,avg,multilevel_tresholding,13,33.69,26.85,-20.30276,0.975,0.949,-2.66667,53.746,54.537,1.47174
Case_6-06,avg,multilevel_tresholding,13,34.027,28.035,-17.60955,0.977,0.958,-1.94473,50.368,59.459,18.04916
Case_6-07,avg,multilevel_tresholding,13,34.428,28.724,-16.56791,0.973,0.952,-2.15827,42.993,63.713,48.19389
Case_6-08,avg,multilevel_tresholding,13,33.592,27.226,-18.95094,0.968,0.941,-2.78926,50.744,55.8,9.96374
Case_6-10,avg,multilevel_tresholding,13,34.305,27.721,-19.19254,0.972,0.95,-2.26337,49.742,59.753,20.12585
Case_7-01,avg,multilevel_tresholding,13,39.116,34.471,-11.87494,0.957,0.948,-0.94044,49.84,48.188,-3.31461
Case_7-02,avg,multilevel_tresholding,13,39.128,34.643,-11.46238,0.959,0.954,-0.52138,45.954,46.861,1.97371
Case_7-03,avg,multilevel_tresholding,13,38.507,32.578,-15.3972,0.962,0.945,-1.76715,46.162,51.613,11.80841
Case_7-04,avg,multilevel_tresholding,13,38.833,33.876,-12.76492,0.963,0.953,-1.03842,45.408,48.621,7.07585
