type,method,sigma,filter_size,jpg_PSNR,PSNR,deltaPSNR,jpg_SSIM,SSIM,deltaSSIM,jpg_brisque,brisque,deltaBrisque
avg,otsu,NaN,7,37.29525,33.5385985,-13.2269471875,0.98763,0.964235625,-2.105870625,51.37817,55.12241175,13.944106625
avg,multilevel_tresholding,NaN,7,37.29525,33.328288125,-13.7764664375,0.98763,0.9628105,-2.2509156875,51.37817,56.86287425,17.49495475
avg,fixed_multilevel_tresholding,NaN,7,37.29525,33.2869988125,-13.88171775,0.98763,0.9626790625,-2.2642631875,51.37817,56.877326375,17.5370915
avg,otsu,NaN,9,37.29525,31.382949125,-18.8311248125,0.98763,0.9485559375,-3.7011683125,51.37817,55.4909459375,14.75550575
avg,multilevel_tresholding,NaN,9,37.29525,31.1258261875,-19.4982669375,0.98763,0.9465861875,-3.9015044375,51.37817,57.3502260625,18.615453125
avg,fixed_multilevel_tresholding,NaN,9,37.29525,31.1119749375,-19.533591125,0.98763,0.946513375,-3.908905875,51.37817,57.5105666875,18.9475279375
avg,otsu,NaN,11,37.29525,29.6402630625,-23.352656625,0.98763,0.9337406875,-5.2080998125,51.37817,55.7327469375,15.2480399375
avg,multilevel_tresholding,NaN,11,37.29525,29.4030200625,-23.9658191875,0.98763,0.93176775,-5.4086829375,51.37817,57.5778978125,19.0182194375
avg,fixed_multilevel_tresholding,NaN,11,37.29525,29.39809675,-23.97854825,0.98763,0.9317103125,-5.414528,51.37817,57.785832375,19.46897625
avg,otsu,NaN,13,37.29525,28.2563021875,-26.9395174375,0.98763,0.92091575,-6.5122408125,51.37817,59.35121125,22.6041905625
avg,multilevel_tresholding,NaN,13,37.29525,28.0594318125,-27.4473053125,0.98763,0.9191464375,-6.6920649375,51.37817,60.9402561875,25.8561834375
avg,fixed_multilevel_tresholding,NaN,13,37.29525,28.0551513125,-27.4584688125,0.98763,0.9190765,-6.699184625,51.37817,61.083285,26.162647375
gauss,otsu,0.7,3,37.29525,25.0891796875,-34.938535375,0.98763,0.9338526875,-5.1867763125,51.37817,47.0326045,-2.8315793125
gauss,otsu,1.1,3,37.29525,25.0838350625,-34.952707625,0.98763,0.9336426875,-5.2081716875,51.37817,47.734290625,-1.3467583125
gauss,otsu,1.4,3,37.29525,25.0811658125,-34.9597596875,0.98763,0.9335216875,-5.220488625,51.37817,47.94599625,-0.8966625625
gauss,otsu,1.7,3,37.29525,25.0793523125,-34.9645433125,0.98763,0.933438625,-5.2289430625,51.37817,48.0168090625,-0.7445904375
gauss,otsu,2,3,37.29525,25.0784070625,-34.967036625,0.98763,0.93339575,-5.233307125,51.37817,48.0493109375,-0.6742363125
avg,otsu,NaN,3,37.29525,25.075188875,-34.975516125,0.98763,0.933249875,-5.248153125,51.37817,48.112004,-0.5371549375
gauss,otsu,0.4,3,37.29525,25.0619011875,-35.00998625,0.98763,0.932198,-5.35501175,51.37817,44.0042058125,-9.1571575625
gauss,fixed_multilevel_tresholding,0.4,3,37.29525,24.9828538125,-35.2128933125,0.98763,0.9324325,-5.3309976875,51.37817,44.168004625,-8.776324625
gauss,fixed_multilevel_tresholding,0.7,3,37.29525,24.96454525,-35.2611719375,0.98763,0.933636125,-5.2086035,51.37817,47.08610975,-2.68786975
gauss,fixed_multilevel_tresholding,1.1,3,37.29525,24.95507525,-35.2860540625,0.98763,0.93336675,-5.236044625,51.37817,47.82891975,-1.1222061875
gauss,fixed_multilevel_tresholding,1.4,3,37.29525,24.9537435625,-35.28956825,0.98763,0.933244625,-5.2484791875,51.37817,48.053195,-0.6481924375
gauss,fixed_multilevel_tresholding,1.7,3,37.29525,24.952749,-35.2921624375,0.98763,0.9331663125,-5.2564536875,51.37817,48.1268865,-0.490806625
gauss,fixed_multilevel_tresholding,2,3,37.29525,24.952274875,-35.2934096875,0.98763,0.933123875,-5.260774,51.37817,48.16361925,-0.41313025
avg,fixed_multilevel_tresholding,NaN,3,37.29525,24.9511990625,-35.29626275,0.98763,0.9329911875,-5.27428125,51.37817,48.22894225,-0.2715256875
