name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_15-07,avg,fixed_multilevel_tresholding,9,30.416,31.081,2.18635,0.934,0.948,1.49893,51.534,57.111,10.82198
Case_15-08,avg,fixed_multilevel_tresholding,9,30.289,30.562,0.90132,0.926,0.938,1.2959,56.897,56.395,-0.8823
Case_15-09,avg,fixed_multilevel_tresholding,9,29.75,29.629,-0.40672,0.908,0.918,1.10132,49.715,56.648,13.94549
Case_15-10,avg,fixed_multilevel_tresholding,9,29.498,29.429,-0.23391,0.924,0.932,0.8658,52.859,55.555,5.10036
Case_15-11,avg,fixed_multilevel_tresholding,9,29.267,28.817,-1.53757,0.91,0.914,0.43956,50.096,57.148,14.07697
Case_15-12,avg,fixed_multilevel_tresholding,9,30.009,30.267,0.85974,0.919,0.933,1.52339,50.459,56.287,11.54997
Case_16-01,avg,fixed_multilevel_tresholding,9,30.588,30.222,-1.19655,0.897,0.907,1.11483,56.431,56.214,-0.38454
Case_16-02,avg,fixed_multilevel_tresholding,9,30.247,30.425,0.58849,0.916,0.929,1.41921,57.879,58.012,0.22979
Case_16-03,avg,fixed_multilevel_tresholding,9,30.266,29.768,-1.64541,0.9,0.906,0.66667,60.616,58.132,-4.09793
Case_16-04,avg,fixed_multilevel_tresholding,9,30.716,30.583,-0.433,0.9,0.914,1.55556,56.772,58.926,3.79412
Case_16-05,avg,fixed_multilevel_tresholding,9,30.812,30.427,-1.24951,0.908,0.918,1.10132,54.876,60.988,11.13784
Case_16-06,avg,fixed_multilevel_tresholding,9,29.297,28.935,-1.23562,0.923,0.928,0.54171,49.74,57.278,15.1548
Case_16-07,avg,fixed_multilevel_tresholding,9,30.152,30.054,-0.32502,0.911,0.923,1.31723,59.726,57.957,-2.96186
Case_16-08,avg,fixed_multilevel_tresholding,9,29.537,29.308,-0.7753,0.93,0.933,0.32258,51.232,58.531,14.24696
Case_16-09,avg,fixed_multilevel_tresholding,9,30.129,29.906,-0.74015,0.923,0.929,0.65005,52.895,56.197,6.24256
