name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_10-05,gauss,1,1.4,8,34.76679,33.60872,-3.33097,0.97183,0.97147,-0.03704,0.99576,0.99192,-0.38564
Case_10-05,gauss,1,1.7,10,34.76679,33.19481,-4.5215,0.97183,0.96739,-0.45687,0.99576,0.99066,-0.51217
Case_10-05,gauss,1,2,12,34.76679,32.30171,-7.09033,0.97183,0.96151,-1.06191,0.99576,0.98779,-0.80039
Case_10-05,gauss,0,0.4,2,34.76679,34.31527,-1.29871,0.97183,0.97144,-0.04013,0.99576,0.99478,-0.09842
Case_10-05,gauss,0,0.7,4,34.76679,33.33002,-4.13259,0.97183,0.97253,0.07203,0.99576,0.99189,-0.38865
Case_10-05,gauss,0,1.1,6,34.76679,33.40607,-3.91385,0.97183,0.97306,0.12657,0.99576,0.99165,-0.41275
Case_10-05,gauss,0,1.4,8,34.76679,33.60872,-3.33097,0.97183,0.97147,-0.03704,0.99576,0.99192,-0.38564
Case_10-05,gauss,0,1.7,10,34.76679,33.19481,-4.5215,0.97183,0.96739,-0.45687,0.99576,0.99066,-0.51217
Case_10-05,gauss,0,2,12,34.76679,32.30171,-7.09033,0.97183,0.96151,-1.06191,0.99576,0.98779,-0.80039
Case_10-06,gauss,1,0.4,2,33.63674,32.92152,-2.12631,0.96951,0.9686,-0.09386,0.99485,0.99281,-0.20506
Case_10-06,gauss,1,0.7,4,33.63674,31.47911,-6.4145,0.96951,0.96834,-0.12068,0.99485,0.98705,-0.78404
Case_10-06,gauss,1,1.1,6,33.63674,31.98589,-4.90788,0.96951,0.969,-0.0526,0.99485,0.98826,-0.66241
Case_10-06,gauss,1,1.4,8,33.63674,32.05169,-4.71226,0.96951,0.96532,-0.43218,0.99485,0.98848,-0.6403
Case_10-06,gauss,1,1.7,10,33.63674,31.30419,-6.93453,0.96951,0.95775,-1.21298,0.99485,0.98589,-0.90064
Case_10-06,gauss,1,2,12,33.63674,30.12192,-10.44935,0.96951,0.94742,-2.27847,0.99485,0.98057,-1.43539
Case_10-06,gauss,0,0.4,2,33.63674,32.92152,-2.12631,0.96951,0.9686,-0.09386,0.99485,0.99281,-0.20506
Case_10-06,gauss,0,0.7,4,33.63674,31.47911,-6.4145,0.96951,0.96834,-0.12068,0.99485,0.98705,-0.78404
Case_10-06,gauss,0,1.1,6,33.63674,31.98589,-4.90788,0.96951,0.969,-0.0526,0.99485,0.98826,-0.66241
Case_10-06,gauss,0,1.4,8,33.63674,32.05169,-4.71226,0.96951,0.96532,-0.43218,0.99485,0.98848,-0.6403
