name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_11-07,gauss,1,0.4,2,34.08888,22.83888,-33.00196,0.9629,0.87738,-8.8815,0.99504,0.89896,-9.65589
Case_11-07,gauss,1,0.7,4,34.08888,33.23768,-2.497,0.9629,0.9622,-0.0727,0.99504,0.99186,-0.31959
Case_11-07,gauss,1,1.1,6,34.08888,33.85123,-0.69715,0.9629,0.96554,0.27417,0.99504,0.99275,-0.23014
Case_11-07,gauss,1,1.4,8,34.08888,33.36792,-2.11494,0.9629,0.96269,-0.02181,0.99504,0.9909,-0.41606
Case_11-07,gauss,1,1.7,10,34.08888,32.34264,-5.12261,0.9629,0.95587,-0.73009,0.99504,0.98704,-0.80399
Case_11-07,gauss,1,2,12,34.08888,31.16028,-8.59107,0.9629,0.94622,-1.73227,0.99504,0.98146,-1.36477
Case_11-09,gauss,1,0.4,2,38.54692,23.32587,-39.48707,0.96482,0.89567,-7.16714,0.99678,0.87758,-11.95851
Case_11-09,gauss,1,0.7,4,38.54692,35.87064,-6.94292,0.96482,0.96343,-0.14407,0.99678,0.99188,-0.49158
Case_11-09,gauss,1,1.1,6,38.54692,38.00001,-1.41882,0.96482,0.96774,0.30265,0.99678,0.99539,-0.13945
Case_11-09,gauss,1,1.4,8,38.54692,37.95952,-1.52386,0.96482,0.96826,0.35654,0.99678,0.9951,-0.16854
Case_11-09,gauss,1,1.7,10,38.54692,37.50484,-2.70341,0.96482,0.96749,0.27674,0.99678,0.99413,-0.26586
Case_11-09,gauss,1,2,12,38.54692,36.79519,-4.54441,0.96482,0.9657,0.09121,0.99678,0.9926,-0.41935
Case_11-10,gauss,1,0.4,2,36.24099,23.33864,-35.60154,0.96374,0.88798,-7.86104,0.99643,0.90495,-9.18078
Case_11-10,gauss,1,0.7,4,36.24099,34.91241,-3.66596,0.96374,0.9634,-0.03528,0.99643,0.99363,-0.281
