name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_10-03,avg,fixed_multilevel_tresholding,7,32.56373,28.03006,-13.92245,0.96066,0.91028,-5.24431,0.99237,0.95671,-3.59342,8.52616,39.38573,361.93984,0.991349995136261,0.923690021038055,-6.8250298500061
Case_10-03,avg,fixed_multilevel_tresholding,9,32.56373,25.97894,-20.22124,0.96066,0.87232,-9.19576,0.99237,0.9254,-6.74849,8.52616,51.49867,504.00778,0.991349995136261,0.862269997596741,-13.0206298828125
Case_10-03,avg,fixed_multilevel_tresholding,11,32.56373,24.56608,-24.55999,0.96066,0.84212,-12.33943,0.99237,0.89194,-10.12022,8.52616,59.47565,597.56667,0.991349995136261,0.796000003814697,-19.7054500579834
Case_10-03,avg,fixed_multilevel_tresholding,13,32.56373,23.55162,-27.6753,0.96066,0.82012,-14.62953,0.99237,0.85871,-13.46877,8.52616,64.98338,662.16468,0.991349995136261,0.731149971485138,-26.2470397949219
Case_10-04,avg,fixed_multilevel_tresholding,3,32.98354,24.23553,-26.52235,0.96681,0.91616,-5.23888,0.99397,0.92787,-6.6501,7.88864,8.98919,13.95107,0.992299973964691,0.970329999923706,-2.21405005455017
Case_10-04,avg,fixed_multilevel_tresholding,5,32.98354,30.83909,-6.50158,0.96681,0.95338,-1.3891,0.99397,0.98357,-1.04631,7.88864,21.41017,171.40508,0.992299973964691,0.97188001871109,-2.05784010887146
Case_10-04,avg,fixed_multilevel_tresholding,7,32.98354,28.1268,-14.72474,0.96681,0.92021,-4.81997,0.99397,0.96533,-2.88137,7.88864,38.85205,392.50631,0.992299973964691,0.930830001831055,-6.19469976425171
Case_10-04,avg,fixed_multilevel_tresholding,9,32.98354,25.90986,-21.44609,0.96681,0.88351,-8.61596,0.99397,0.93813,-5.61788,7.88864,52.10351,560.48787,0.992299973964691,0.872370004653931,-12.0860595703125
Case_10-04,avg,fixed_multilevel_tresholding,11,32.98354,24.34824,-26.18063,0.96681,0.85269,-11.80377,0.99397,0.90715,-8.73467,7.88864,60.85949,671.48266,0.992299973964691,0.806699991226196,-18.7040195465088
Case_10-04,avg,fixed_multilevel_tresholding,13,32.98354,23.21107,-29.62832,0.96681,0.82891,-14.2634,0.99397,0.87469,-12.00036,7.88864,66.9147,748.24127,0.992299973964691,0.740069985389709,-25.4187202453613
Case_10-05,avg,fixed_multilevel_tresholding,3,34.76679,22.61296,-34.95816,0.97183,0.88783,-8.64349,0.99576,0.89612,-10.00643,5.46929,5.23705,-4.24625,0.989979982376099,0.940169990062714,-5.03141021728516
Case_10-05,avg,fixed_multilevel_tresholding,5,34.76679,32.97785,-5.14554,0.97183,0.96774,-0.42086,0.99576,0.99021,-0.55736,5.46929,9.96579,82.2136,0.989979982376099,0.979359984397888,-1.07274997234344
Case_10-05,avg,fixed_multilevel_tresholding,7,34.76679,31.61519,-9.06497,0.97183,0.95489,-1.7431,0.99576,0.98501,-1.07958,5.46929,19.31398,253.13505,0.989979982376099,0.953999996185303,-3.6344199180603
Case_10-05,avg,fixed_multilevel_tresholding,9,34.76679,29.54595,-15.01674,0.97183,0.93641,-3.64467,0.99576,0.97378,-2.20736,5.46929,29.89395,446.57826,0.989979982376099,0.915030002593994,-7.57085990905762
Case_10-05,avg,fixed_multilevel_tresholding,11,34.76679,27.9121,-19.7162,0.97183,0.91894,-5.44231,0.99576,0.96002,-3.58922,5.46929,38.67026,607.04351,0.989979982376099,0.869050025939941,-12.2153902053833
Case_10-05,avg,fixed_multilevel_tresholding,13,34.76679,26.66218,-23.31136,0.97183,0.9042,-6.95904,0.99576,0.94506,-5.09159,5.46929,45.48226,731.5935,0.989979982376099,0.820699989795685,-17.0993309020996
Case_10-06,avg,fixed_multilevel_tresholding,3,33.63674,23.06793,-31.42043,0.96951,0.90019,-7.15,0.99485,0.90904,-8.62542,6.77943,7.59842,12.08051,0.99251002073288,0.961030006408691,-3.17176008224487
Case_10-06,avg,fixed_multilevel_tresholding,5,33.63674,31.57802,-6.12045,0.96951,0.96035,-0.94481,0.99485,0.98655,-0.8343,6.77943,16.54313,144.01948,0.99251002073288,0.977349996566772,-1.52743995189667
Case_10-06,avg,fixed_multilevel_tresholding,7,33.63674,29.32483,-12.81905,0.96951,0.936,-3.45639,0.99485,0.97513,-1.98221,6.77943,32.06115,372.91808,0.99251002073288,0.944750010967255,-4.81203985214233
Case_10-06,avg,fixed_multilevel_tresholding,9,33.63674,26.98673,-19.77008,0.96951,0.90483,-6.67141,0.99485,0.95431,-4.07499,6.77943,46.58736,587.18698,0.99251002073288,0.894810020923615,-9.84372997283936
Case_10-06,avg,fixed_multilevel_tresholding,11,33.63674,25.25513,-24.91802,0.96951,0.8762,-9.62445,0.99485,0.9287,-6.64924,6.77943,56.98544,740.56388,0.99251002073288,0.835290014743805,-15.8406496047974
Case_10-06,avg,fixed_multilevel_tresholding,13,33.63674,23.96231,-28.7615,0.96951,0.85252,-12.06692,0.99485,0.90026,-9.50797,6.77943,64.26752,847.97822,0.99251002073288,0.771860003471375,-22.2315101623535
