name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_10-08,gauss,otsu,1.4,8,33.53521,32.4541,-3.22381,0.97055,0.96681,-0.38535,0.99412,0.98875,-0.54018,7.07475,14.32983,102.54892,0.991919994354248,0.979529976844788,-1.24908995628357
Case_10-08,gauss,otsu,1.7,10,33.53521,31.35585,-6.49872,0.97055,0.95926,-1.16326,0.99412,0.98421,-0.99686,7.07475,20.33955,187.49496,0.991919994354248,0.967760026454926,-2.43567991256714
Case_10-08,gauss,otsu,2,12,33.53521,30.11465,-10.19991,0.97055,0.94918,-2.20184,0.99412,0.97764,-1.65775,7.07475,27.41373,287.48691,0.991919994354248,0.951860010623932,-4.03863000869751
Case_10-09,gauss,otsu,0.4,2,33.12456,24.29871,-26.64443,0.96886,0.91264,-5.8027,0.99415,0.93002,-6.45074,7.41659,10.83976,46.15558,0.991649985313416,0.969079971313477,-2.27601003646851
Case_10-09,gauss,otsu,0.7,4,33.12456,32.44985,-2.03689,0.96886,0.9684,-0.04748,0.99415,0.9911,-0.30679,7.41659,9.51799,28.33378,0.991649985313416,0.990779995918274,-0.0877299979329109
Case_10-09,gauss,otsu,1.1,6,33.12456,32.85407,-0.81658,0.96886,0.96968,0.08464,0.99415,0.99146,-0.27058,7.41659,10.77693,45.30842,0.991649985313416,0.986609995365143,-0.508239984512329
Case_10-09,gauss,otsu,1.4,8,33.12456,32.24617,-2.65178,0.96886,0.96528,-0.36951,0.99415,0.98895,-0.52306,7.41659,14.80466,99.61546,0.991649985313416,0.978649973869324,-1.31095004081726
Case_10-09,gauss,otsu,1.7,10,33.12456,31.15364,-5.95003,0.96886,0.95715,-1.20864,0.99415,0.98418,-1.00287,7.41659,20.88044,181.53693,0.991649985313416,0.96627002954483,-2.55937004089355
Case_10-09,gauss,otsu,2,12,33.12456,29.95507,-9.5684,0.96886,0.94659,-2.29858,0.99415,0.97754,-1.67077,7.41659,27.76835,274.40859,0.991649985313416,0.949819982051849,-4.21822023391724
Case_10-10,gauss,otsu,0.4,2,33.95052,24.16252,-28.83019,0.96517,0.90069,-6.68069,0.99297,0.90878,-8.4786,7.12883,9.7836,37.23991,0.989170014858246,0.958000004291534,-3.15112996101379
Case_10-10,gauss,otsu,0.7,4,33.95052,33.35779,-1.74586,0.96517,0.96558,0.04248,0.99297,0.99039,-0.25983,7.12883,8.49201,19.12207,0.989170014858246,0.988759994506836,-0.0414500012993813
Case_10-10,gauss,otsu,1.1,6,33.95052,33.67072,-0.82414,0.96517,0.96604,0.09014,0.99297,0.99073,-0.22559,7.12883,9.43005,32.28047,0.989170014858246,0.984430015087128,-0.479189991950989
Case_10-10,gauss,otsu,1.4,8,33.95052,33.03415,-2.69913,0.96517,0.96085,-0.44759,0.99297,0.98821,-0.47937,7.12883,12.63058,77.17606,0.989170014858246,0.976270020008087,-1.30411994457245
Case_10-10,gauss,otsu,1.7,10,33.95052,31.99553,-5.75835,0.96517,0.95218,-1.34588,0.99297,0.98362,-0.94162,7.12883,17.48297,145.24319,0.989170014858246,0.963919997215271,-2.552649974823
Case_10-10,gauss,otsu,2,12,33.95052,30.88737,-9.02239,0.96517,0.94149,-2.45345,0.99297,0.97745,-1.56299,7.12883,23.06033,223.47987,0.989170014858246,0.947950005531311,-4.16712999343872
Case_11-07,gauss,otsu,0.4,2,34.08888,22.83888,-33.00196,0.9629,0.87738,-8.8815,0.99504,0.89896,-9.65589,5.72138,9.14079,59.76548,0.991829991340637,0.95194000005722,-4.02186012268066
Case_11-07,gauss,otsu,0.7,4,34.08888,33.23768,-2.497,0.9629,0.9622,-0.0727,0.99504,0.99186,-0.31959,5.72138,8.08297,41.27658,0.991829991340637,0.990809977054596,-0.10283999890089
Case_11-07,gauss,otsu,1.1,6,34.08888,33.85123,-0.69715,0.9629,0.96554,0.27417,0.99504,0.99275,-0.23014,5.72138,8.64449,51.091,0.991829991340637,0.987789988517761,-0.407330006361008
Case_11-07,gauss,otsu,1.4,8,34.08888,33.36792,-2.11494,0.9629,0.96269,-0.02181,0.99504,0.9909,-0.41606,5.72138,11.58196,102.43298,0.991829991340637,0.981410026550293,-1.05058002471924
Case_11-07,gauss,otsu,1.7,10,34.08888,32.34264,-5.12261,0.9629,0.95587,-0.73009,0.99504,0.98704,-0.80399,5.72138,16.34271,185.6428,0.991829991340637,0.971019983291626,-2.098140001297
Case_11-07,gauss,otsu,2,12,34.08888,31.16028,-8.59107,0.9629,0.94622,-1.73227,0.99504,0.98146,-1.36477,5.72138,21.95856,283.79831,0.991829991340637,0.956709980964661,-3.5409300327301
Case_11-09,gauss,otsu,0.4,2,38.54692,23.32587,-39.48707,0.96482,0.89567,-7.16714,0.99678,0.87758,-11.95851,2.68889,3.67979,36.85164,0.989369988441467,0.943929970264435,-4.5928201675415
Case_11-09,gauss,otsu,0.7,4,38.54692,35.87064,-6.94292,0.96482,0.96343,-0.14407,0.99678,0.99188,-0.49158,2.68889,3.64509,35.56114,0.989369988441467,0.989629983901978,0.0262800008058548
Case_11-09,gauss,otsu,1.1,6,38.54692,38.00001,-1.41882,0.96482,0.96774,0.30265,0.99678,0.99539,-0.13945,2.68889,3.61999,34.62767,0.989369988441467,0.989700019359589,0.0333600006997585
